epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.241,1.03616,4.20552,1.24603,0.03907,0.88389,0.14837,0.11964,0.83927,3.04091,1.11931,0.000131783,0.000131783,0.000131783
2,538.978,0.95107,3.44967,1.17665,0.28781,0.3928,0.31103,0.24339,0.85413,2.39167,1.16323,0.000262492,0.000262492,0.000262492
3,571.473,0.96133,2.81112,1.17768,0.43028,0.48331,0.51051,0.39107,0.85003,1.85006,1.16767,0.00039056,0.00039056,0.00039056
4,603.875,0.94646,2.35408,1.1556,0.5328,0.68034,0.6519,0.51034,0.83371,1.54448,1.11477,0.00038812,0.00038812,0.00038812
5,636.932,0.91183,2.00053,1.13433,0.73679,0.74208,0.79197,0.62969,0.7954,1.22882,1.09632,0.00038416,0.00038416,0.00038416
6,670.169,0.8751,1.76357,1.09665,0.76739,0.81393,0.85461,0.66926,0.8358,1.12339,1.1025,0.0003802,0.0003802,0.0003802
7,702.804,0.85335,1.6237,1.08361,0.84085,0.77917,0.8709,0.69227,0.79018,0.98102,1.0566,0.00037624,0.00037624,0.00037624
8,734.785,0.83519,1.45574,1.0642,0.79961,0.81118,0.85734,0.69566,0.74465,1.03616,1.03228,0.00037228,0.00037228,0.00037228
9,766.664,0.81181,1.36974,1.05463,0.84822,0.8267,0.89231,0.72196,0.72811,0.93306,1.02584,0.00036832,0.00036832,0.00036832
10,800.309,0.82923,1.34149,1.06535,0.82616,0.79979,0.87617,0.71602,0.7467,0.9284,1.03677,0.00036436,0.00036436,0.00036436
11,831.91,0.81793,1.24606,1.0542,0.89155,0.85004,0.92067,0.75286,0.71318,0.78192,1.01856,0.0003604,0.0003604,0.0003604
12,864.036,0.77268,1.18627,1.04077,0.90376,0.88714,0.93091,0.77068,0.70308,0.70682,1.00641,0.00035644,0.00035644,0.00035644
13,896.216,0.78607,1.15455,1.04446,0.90002,0.89195,0.93598,0.77605,0.70021,0.68705,0.99623,0.00035248,0.00035248,0.00035248
14,929.947,0.77454,1.09335,1.03404,0.90125,0.88647,0.93832,0.77568,0.71667,0.67333,1.00484,0.00034852,0.00034852,0.00034852
15,961.848,0.78491,1.02785,1.03484,0.91926,0.88564,0.93994,0.78309,0.69805,0.65151,1.0008,0.00034456,0.00034456,0.00034456
16,993.738,0.75747,1.00069,1.02322,0.9163,0.8694,0.93941,0.75742,0.75682,0.67473,1.03058,0.0003406,0.0003406,0.0003406
17,1027.01,0.75493,0.96511,1.01772,0.91187,0.86138,0.92909,0.75486,0.75346,0.66913,1.02982,0.00033664,0.00033664,0.00033664
18,1059.37,0.75451,0.94405,1.01255,0.90865,0.89483,0.94416,0.77221,0.73416,0.64859,1.02625,0.00033268,0.00033268,0.00033268
19,1091.78,0.72863,0.88532,1.01212,0.89883,0.85347,0.91796,0.76717,0.70541,0.6915,1.00804,0.00032872,0.00032872,0.00032872
20,1124.65,0.76333,0.90009,1.03102,0.9081,0.88282,0.93195,0.77188,0.71238,0.6207,0.99704,0.00032476,0.00032476,0.00032476
21,1157.13,0.73108,0.86721,1.00961,0.89015,0.90827,0.94809,0.78332,0.69385,0.61281,0.99188,0.0003208,0.0003208,0.0003208
22,1188.61,0.73541,0.83401,1.02027,0.92083,0.87928,0.92414,0.75636,0.72045,0.64987,1.00436,0.00031684,0.00031684,0.00031684
23,1220.07,0.72458,0.814,1.01084,0.94374,0.87483,0.93787,0.78195,0.71562,0.59617,1.00507,0.00031288,0.00031288,0.00031288
24,1253.51,0.73309,0.81039,1.01142,0.91998,0.86315,0.9237,0.76982,0.70293,0.64792,1.00758,0.00030892,0.00030892,0.00030892
25,1284.93,0.7114,0.8055,1.00214,0.88482,0.88855,0.93113,0.77422,0.71978,0.64888,1.00804,0.00030496,0.00030496,0.00030496
26,1316.55,0.71502,0.77447,0.99773,0.9,0.88504,0.94404,0.77968,0.70047,0.60321,1.00098,0.000301,0.000301,0.000301
27,1349.32,0.718,0.76028,1.00362,0.94343,0.88522,0.95266,0.78104,0.72956,0.55754,1.02936,0.00029704,0.00029704,0.00029704
28,1381.02,0.7083,0.72138,1.00078,0.92749,0.86685,0.92707,0.77752,0.71617,0.63398,1.00487,0.00029308,0.00029308,0.00029308
29,1412.5,0.72121,0.70925,1.00864,0.93645,0.90171,0.94667,0.78467,0.69931,0.56464,1.00213,0.00028912,0.00028912,0.00028912
30,1444.23,0.70799,0.7152,0.99596,0.93729,0.87296,0.94307,0.78412,0.70791,0.56718,1.00895,0.00028516,0.00028516,0.00028516
31,1476.66,0.70897,0.68702,1.00036,0.91266,0.89257,0.94631,0.78854,0.70971,0.54739,0.99331,0.0002812,0.0002812,0.0002812
32,1508.22,0.6757,0.66449,0.98059,0.89568,0.90306,0.93848,0.7863,0.68339,0.57575,0.98506,0.00027724,0.00027724,0.00027724
33,1539.76,0.68339,0.67091,0.98474,0.94374,0.8856,0.94387,0.79328,0.69086,0.53807,0.99269,0.00027328,0.00027328,0.00027328
34,1572.13,0.66736,0.63579,0.97835,0.9235,0.88146,0.94005,0.78925,0.67441,0.55395,0.98169,0.00026932,0.00026932,0.00026932
35,1604.32,0.68589,0.64286,0.99476,0.94814,0.89079,0.94959,0.78741,0.69806,0.51981,0.9915,0.00026536,0.00026536,0.00026536
36,1635.67,0.66556,0.63756,0.97686,0.94256,0.89561,0.94705,0.79016,0.69133,0.53667,0.9996,0.0002614,0.0002614,0.0002614
37,1667.86,0.66936,0.64154,0.98234,0.93082,0.87618,0.94029,0.78582,0.68394,0.55245,0.97476,0.00025744,0.00025744,0.00025744
38,1700.83,0.65247,0.62062,0.97281,0.93934,0.89847,0.95536,0.80411,0.66272,0.51154,0.97961,0.00025348,0.00025348,0.00025348
39,1733.61,0.67116,0.61577,0.98813,0.93379,0.89488,0.95132,0.79185,0.68824,0.50414,0.99215,0.00024952,0.00024952,0.00024952
40,1766.48,0.65165,0.58111,0.97871,0.95476,0.91915,0.95785,0.80351,0.66943,0.45812,0.97684,0.00024556,0.00024556,0.00024556
41,1799.52,0.65306,0.57994,0.97211,0.94498,0.90526,0.94694,0.79352,0.67108,0.49436,0.98316,0.0002416,0.0002416,0.0002416
42,1831.79,0.64144,0.57795,0.96913,0.93799,0.92339,0.95507,0.80024,0.67473,0.48632,0.97778,0.00023764,0.00023764,0.00023764
43,1864.39,0.64102,0.57016,0.96275,0.92645,0.906,0.94736,0.79272,0.67615,0.53346,0.98531,0.00023368,0.00023368,0.00023368
